,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.33,9.86,94,100,5.2,NZ,1593313097
1,rikitea,-23.12,-134.97,21.17,72,9,8.92,PF,1593313097
2,bondo,3.81,23.69,19.03,97,92,0.61,CD,1593313097
3,hobart,-42.88,147.33,10.0,66,0,2.6,AU,1593312828
4,sanming,26.25,117.62,34.23,49,100,2.85,CN,1593313098
5,vaini,-21.2,-175.2,26.0,83,75,3.6,TO,1593313098
6,port lincoln,-34.73,135.87,15.51,46,0,5.16,AU,1593313098
7,fairbanks,64.84,-147.72,21.11,37,1,1.12,US,1593312932
8,port alfred,-33.59,26.89,16.56,50,85,15.48,ZA,1593312844
9,ushuaia,-54.8,-68.3,2.0,59,20,7.7,AR,1593313098
10,loubomo,-4.2,12.67,17.64,94,4,1.47,CG,1593313098
11,castro,-24.79,-50.01,10.65,96,99,2.38,BR,1593313098
12,kapaa,22.08,-159.32,28.0,65,1,6.7,US,1593313098
13,adrar,20.5,-10.07,34.98,10,0,9.37,MR,1593313098
14,barrow,71.29,-156.79,14.0,47,90,5.1,US,1593313098
15,cidreira,-30.18,-50.21,11.31,69,18,2.82,BR,1593313098
16,skovorodino,53.98,123.92,22.64,48,98,3.26,RU,1593313098
17,puerto ayora,-0.74,-90.35,21.11,93,27,1.79,EC,1593313099
18,airai,-8.93,125.41,22.11,63,60,2.24,TL,1593313099
19,pacific grove,36.62,-121.92,16.0,82,90,3.1,US,1593312936
20,port blair,11.67,92.75,29.51,71,95,4.66,IN,1593313099
21,east london,-33.02,27.91,17.53,53,100,9.54,ZA,1593313099
22,avarua,-21.21,-159.78,24.0,64,0,5.7,CK,1593313099
23,cabo san lucas,22.89,-109.91,29.44,58,75,2.6,MX,1593312809
24,san quintin,30.48,-115.95,17.73,86,20,4.66,MX,1593313099
25,araouane,18.9,-3.53,33.69,16,14,4.2,ML,1593313099
26,batouri,4.43,14.37,20.02,97,100,1.02,CM,1593313099
27,jamestown,42.1,-79.24,19.0,93,20,3.1,US,1593313099
28,shelburne,44.08,-80.2,20.0,100,20,2.56,CA,1593313099
29,waipawa,-41.41,175.52,12.78,75,9,0.45,NZ,1593313100
30,brae,60.4,-1.35,14.0,93,76,8.2,GB,1593313100
31,atuona,-9.8,-139.03,26.54,78,52,5.21,PF,1593313100
32,pisco,-13.7,-76.22,17.0,82,2,4.6,PE,1593313100
33,hobe sound,27.06,-80.14,27.0,78,1,2.1,US,1593313100
34,lasa,46.62,10.7,12.0,100,5,1.5,IT,1593313100
35,haines junction,60.75,-137.51,20.38,26,100,1.81,CA,1593313100
